;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;7,0;0,013046598308668075;1,0;2,0;2,0
1;12,985074626865671;0,025621492204899777;1,0;4,0;4,0
2;27,781954887218046;0,013840409766454353;1,0;8,0;8,0
3;41,278195488721806;0,015113547974413647;1,0;12,0;12,0
4;50,255172413793105;0,016174759061833688;1,0;16,0;16,0
5;69,06766917293233;0,013289032119914347;2,0;10,0;20,0
6;62,3984962406015;0,057122311345646444;1,0;22,0;22,0
7;83,94736842105263;0,010164894957983193;2,0;12,0;24,0
8;97,93984962406014;0,010895659663865546;2,0;14,0;28,0
9;111,45864661654136;0,010430597457627118;2,0;16,0;32,0
10;124,77443609022556;0,011554812765957448;2,0;18,0;36,0
11;119,88148148148149;0,04006876097560976;2,0;20,0;40,0
12;116,18796992481202;0,06850166011235954;2,0;22,0;44,0
13;113,21969696969697;0,1860235462555066;2,0;32,0;64,0
