;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;9.573033707865168;11.614708100000003;2.0;1.0;2.0
1;18.96629213483146;13.767036200000002;1.0;4.0;4.0
2;37.8876404494382;14.3999454;1.0;8.0;8.0
3;37.8;13.0385808;2.0;4.0;8.0
4;66.25842696629213;14.1466365;2.0;7.0;14.0
5;75.57303370786516;14.6057248;1.0;16.0;16.0
6;75.5505617977528;14.867218799999998;2.0;8.0;16.0
7;85.30337078651685;13.2838654;2.0;9.0;18.0
8;93.73033707865169;15.549189;2.0;10.0;20.0
9;103.86516853932584;14.8601158;2.0;11.0;22.0
10;113.56818181818181;14.3452846;2.0;12.0;24.0
11;132.0561797752809;15.346148;2.0;14.0;28.0
12;124.36781609195403;87.7299012;1.0;30.0;30.0
13;140.35955056179776;16.120367;2.0;15.0;30.0
14;112.95402298850574;103.8115071;1.0;32.0;32.0
15;149.7078651685393;18.323597999999997;2.0;16.0;32.0
16;101.91836734693878;404.5896252;1.0;64.0;64.0
