;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;7.133333333333334;101.7513619;1.0;2.0;2.0
1;13.685393258426966;126.4472635;1.0;4.0;4.0
2;24.31111111111111;183.5505742;1.0;8.0;8.0
3;25.133333333333333;152.1310087;2.0;4.0;8.0
4;28.566666666666666;509.26441800000003;1.0;16.0;16.0
5;44.60674157303371;206.15466900000004;2.0;8.0;16.0
6;27.5625;1095.7697217999998;1.0;32.0;32.0
7;57.285714285714285;497.8519254;2.0;16.0;32.0
8;26.255555555555556;2200.194848;1.0;64.0;64.0
9;54.022222222222226;1102.201135;2.0;32.0;64.0
10;55.10989010989011;1413.7011286;2.0;36.0;72.0
11;81.52173913043478;905.0637773999999;3.0;24.0;72.0
