;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;6.705426356589148;7.0847816;2.0;1.0;2.0
1;13.253846153846155;8.011868;1.0;4.0;4.0
2;26.828125;8.860948;1.0;8.0;8.0
3;26.674418604651162;8.8094943;2.0;4.0;8.0
4;46.689922480620154;8.315743;2.0;7.0;14.0
5;21.880597014925375;177.62011450000003;3.0;5.0;15.0
6;51.84496124031008;16.047798800000002;1.0;16.0;16.0
7;53.6171875;8.9142736;2.0;8.0;16.0
8;59.992248062015506;8.2171439;2.0;9.0;18.0
9;24.015037593984964;234.0867165;3.0;6.0;18.0
10;66.9296875;8.9590506;2.0;10.0;20.0
11;49.05521472392638;16.215431000000002;2.0;11.0;22.0
12;78.4609375;16.566448700000002;2.0;12.0;24.0
13;89.94615384615385;17.633994100000002;2.0;14.0;28.0
14;56.323076923076925;210.7293854;1.0;30.0;30.0
15;97.14728682170542;18.6946915;2.0;15.0;30.0
16;56.70676691729323;290.64223389999995;1.0;32.0;32.0
17;102.73076923076923;17.6040558;2.0;16.0;32.0
18;29.69402985074627;399.1802200000001;4.0;10.0;40.0
19;58.85606060606061;609.03448;1.0;64.0;64.0
