;avg_throughput;latency_90th
0;9.454545454545455;11.8153222
1;18.876404494382022;11.592772
2;18.863636363636363;12.949069399999999
3;36.85227272727273;23.045473400000002
4;37.75;13.700217500000003
5;34.67816091954023;396.1245928
6;108.51136363636364;30.77529680000002
7;100.14942528735632;178.14204900000007
8;32.97701149425287;1097.175735
9;68.4090909090909;1084.772685
10;94.05681818181819;327.8142250000003
11;65.7840909090909;1102.2740767000003
12;110.9659090909091;1044.6565343
13;111.0909090909091;1040.982824
