;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;8.77;5.2331905;2.0;1.0;2.0
1;17.52;5.631442799999999;1.0;4.0;4.0
2;35.38383838383838;5.6111413;1.0;8.0;8.0
3;35.04;5.217375;2.0;4.0;8.0
4;61.23;5.1344458;2.0;7.0;14.0
5;42.724489795918366;11.1479385;3.0;5.0;15.0
6;69.84;5.479789;1.0;16.0;16.0
7;70.01;5.6510151;2.0;8.0;16.0
8;78.73;5.3340364000000005;2.0;9.0;18.0
9;50.92857142857143;18.355390200000002;3.0;6.0;18.0
10;87.51;6.0809904;2.0;10.0;20.0
11;96.16;5.5794485;2.0;11.0;22.0
12;104.94;6.205883600000001;2.0;12.0;24.0
13;122.34;5.8109875;2.0;14.0;28.0
14;93.09;101.9756398;1.0;30.0;30.0
15;131.01;5.637639600000001;2.0;15.0;30.0
16;85.97058823529412;198.2921844;1.0;32.0;32.0
17;139.52;5.7454494;2.0;16.0;32.0
18;106.27551020408163;80.08630340000002;4.0;10.0;40.0
19;76.2;1251.9684596;1.0;64.0;64.0
