;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;7.404494382022472;98.49838770000004;1.0;2.0;2.0
1;13.97752808988764;126.35928679999999;1.0;4.0;4.0
2;22.84269662921348;214.6250195;1.0;8.0;8.0
3;24.22222222222222;175.32030670000003;2.0;4.0;8.0
4;23.58888888888889;607.9043834;1.0;16.0;16.0
5;40.98876404494382;259.04680460000003;2.0;8.0;16.0
6;23.11111111111111;1401.3606768;1.0;32.0;32.0
7;48.0;633.7506587;2.0;16.0;32.0
8;22.07777777777778;2306.8100844;1.0;64.0;64.0
9;45.666666666666664;1401.3811744000002;2.0;32.0;64.0
10;45.63333333333333;1567.4732612000003;2.0;36.0;72.0
11;69.46666666666667;988.747235;3.0;24.0;72.0
