;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;9,755555555555556;3,9267963804100225;1,0;2,0;2,0
1;19,35164835164835;3,844171997722096;1,0;4,0;4,0
2;38,9;4,272313456621005;1,0;8,0;8,0
3;38,94444444444444;4,3835742602739725;2,0;4,0;8,0
4;67,96666666666667;4,7727101762013735;2,0;7,0;14,0
5;77,62222222222222;4,422213472477065;1,0;16,0;16,0
6;77,67777777777778;4,667983441647597;2,0;8,0;16,0
7;87,16666666666667;4,901484194954128;2,0;9,0;18,0
8;96,91011235955057;5,169869472477065;2,0;10,0;20,0
9;106,98876404494382;7,179338591647332;2,0;11,0;22,0
10;115,94444444444444;5,263858110599078;2,0;12,0;24,0
11;133,75824175824175;5,606530440092166;2,0;14,0;28,0
12;144,57303370786516;10,81084252;1,0;30,0;30,0
13;145,30337078651687;5,202290995402299;2,0;15,0;30,0
14;150,64835164835165;6,01673841108545;1,0;32,0;32,0
15;154,4943820224719;5,147141820276498;2,0;16,0;32,0
16;153,25842696629215;198,72227962557076;1,0;64,0;64,0
