;avg_throughput;latency_90th;n_clients;threads_per_client;total_threads
0;9.454545454545455;11.8153222;1.0;2.0;2.0
1;18.876404494382022;11.592772;1.0;4.0;4.0
2;18.863636363636363;12.949069399999999;2.0;2.0;4.0
3;36.85227272727273;23.045473400000002;1.0;8.0;8.0
4;37.75;13.700217500000003;2.0;4.0;8.0
5;34.67816091954023;396.1245928;1.0;16.0;16.0
6;108.51136363636364;30.77529680000002;3.0;8.0;24.0
7;100.14942528735632;178.14204900000007;3.0;10.0;30.0
8;32.97701149425287;1097.175735;1.0;32.0;32.0
9;68.4090909090909;1084.772685;2.0;19.0;38.0
10;94.05681818181819;327.8142250000003;3.0;14.0;42.0
11;65.7840909090909;1102.2740767000003;2.0;26.0;52.0
12;110.9659090909091;1044.6565343;4.0;13.0;52.0
13;111.0909090909091;1040.982824;4.0;18.0;72.0
